,Sharpe ratio
None_weighted_Newman_betweenness_central,0.712797
None_weighted_Newman_betweenness_peripheral,1.015834
None_weighted_Newman_degree_central,0.717881
None_weighted_Newman_degree_peripheral,0.919497
None_weighted_Newman_closeness_central,0.793827
None_weighted_Newman_closeness_peripheral,0.909553
None_weighted_benchmark,0.903382
None_weighted_ClausetNewman_betweenness_central,0.506679
None_weighted_ClausetNewman_betweenness_peripheral,1.020761
None_weighted_ClausetNewman_degree_central,0.572815
None_weighted_ClausetNewman_degree_peripheral,0.927211
None_weighted_ClausetNewman_closeness_central,0.617496
None_weighted_ClausetNewman_closeness_peripheral,0.910924
None_weighted_nocluster_betweenness_central,0.673821
None_weighted_nocluster_betweenness_peripheral,1.018595
None_weighted_nocluster_degree_central,0.673454
None_weighted_nocluster_degree_peripheral,0.929432
None_weighted_nocluster_closeness_central,0.694232
None_weighted_nocluster_closeness_peripheral,0.886595
None_weighted_single_nocluster_betweenness_central,0.394447
None_weighted_single_nocluster_betweenness_peripheral,1.018595
None_weighted_single_nocluster_degree_central,0.481476
None_weighted_single_nocluster_degree_peripheral,0.878712
None_weighted_single_nocluster_closeness_central,0.391425
None_weighted_single_nocluster_closeness_peripheral,0.537708
None_unweighted_Newman_betweenness_central,0.671289
None_unweighted_Newman_betweenness_peripheral,0.887636
None_unweighted_Newman_degree_central,0.732724
None_unweighted_Newman_degree_peripheral,1.002596
None_unweighted_Newman_closeness_central,0.740025
None_unweighted_Newman_closeness_peripheral,0.981584
None_unweighted_benchmark,0.848655
None_unweighted_ClausetNewman_betweenness_central,0.690064
None_unweighted_ClausetNewman_betweenness_peripheral,0.892267
None_unweighted_ClausetNewman_degree_central,0.673213
None_unweighted_ClausetNewman_degree_peripheral,1.024336
None_unweighted_ClausetNewman_closeness_central,0.71814
None_unweighted_ClausetNewman_closeness_peripheral,1.017331
None_unweighted_nocluster_betweenness_central,0.745294
None_unweighted_nocluster_betweenness_peripheral,0.899373
None_unweighted_nocluster_degree_central,0.732713
None_unweighted_nocluster_degree_peripheral,0.97801
None_unweighted_nocluster_closeness_central,0.702771
None_unweighted_nocluster_closeness_peripheral,0.891196
None_unweighted_single_nocluster_betweenness_central,0.394447
None_unweighted_single_nocluster_betweenness_peripheral,0.899373
None_unweighted_single_nocluster_degree_central,0.481476
None_unweighted_single_nocluster_degree_peripheral,0.865294
None_unweighted_single_nocluster_closeness_central,0.391425
None_unweighted_single_nocluster_closeness_peripheral,0.593922
LedoitWolf_weighted_Newman_betweenness_central,0.686626
LedoitWolf_weighted_Newman_betweenness_peripheral,0.967702
LedoitWolf_weighted_Newman_degree_central,0.701239
LedoitWolf_weighted_Newman_degree_peripheral,0.995562
LedoitWolf_weighted_Newman_closeness_central,0.768736
LedoitWolf_weighted_Newman_closeness_peripheral,0.958529
LedoitWolf_weighted_benchmark,0.940547
LedoitWolf_weighted_ClausetNewman_betweenness_central,0.575704
LedoitWolf_weighted_ClausetNewman_betweenness_peripheral,0.972867
LedoitWolf_weighted_ClausetNewman_degree_central,0.613916
LedoitWolf_weighted_ClausetNewman_degree_peripheral,1.049049
LedoitWolf_weighted_ClausetNewman_closeness_central,0.591241
LedoitWolf_weighted_ClausetNewman_closeness_peripheral,0.961373
LedoitWolf_weighted_nocluster_betweenness_central,0.727036
LedoitWolf_weighted_nocluster_betweenness_peripheral,0.974062
LedoitWolf_weighted_nocluster_degree_central,0.681827
LedoitWolf_weighted_nocluster_degree_peripheral,1.001633
LedoitWolf_weighted_nocluster_closeness_central,0.828559
LedoitWolf_weighted_nocluster_closeness_peripheral,0.899807
LedoitWolf_weighted_single_nocluster_betweenness_central,0.397401
LedoitWolf_weighted_single_nocluster_betweenness_peripheral,0.974062
LedoitWolf_weighted_single_nocluster_degree_central,0.308254
LedoitWolf_weighted_single_nocluster_degree_peripheral,0.871783
LedoitWolf_weighted_single_nocluster_closeness_central,0.485751
LedoitWolf_weighted_single_nocluster_closeness_peripheral,0.645851
LedoitWolf_unweighted_Newman_betweenness_central,0.792859
LedoitWolf_unweighted_Newman_betweenness_peripheral,0.877498
LedoitWolf_unweighted_Newman_degree_central,0.785105
LedoitWolf_unweighted_Newman_degree_peripheral,1.016114
LedoitWolf_unweighted_Newman_closeness_central,0.808467
LedoitWolf_unweighted_Newman_closeness_peripheral,0.917321
LedoitWolf_unweighted_nocluster_betweenness_central,0.771582
LedoitWolf_unweighted_nocluster_betweenness_peripheral,0.887274
LedoitWolf_unweighted_nocluster_degree_central,0.752247
LedoitWolf_unweighted_nocluster_degree_peripheral,0.997814
LedoitWolf_unweighted_nocluster_closeness_central,0.739678
LedoitWolf_unweighted_nocluster_closeness_peripheral,0.836181
LedoitWolf_unweighted_ClausetNewman_betweenness_central,0.674123
LedoitWolf_unweighted_ClausetNewman_betweenness_peripheral,0.884915
LedoitWolf_unweighted_ClausetNewman_degree_central,0.670145
LedoitWolf_unweighted_ClausetNewman_degree_peripheral,1.063201
LedoitWolf_unweighted_ClausetNewman_closeness_central,0.649009
LedoitWolf_unweighted_ClausetNewman_closeness_peripheral,0.951709
LedoitWolf_unweighted_benchmark,0.848655
LedoitWolf_unweighted_single_nocluster_betweenness_central,0.396944
LedoitWolf_unweighted_single_nocluster_betweenness_peripheral,0.887274
LedoitWolf_unweighted_single_nocluster_degree_central,0.308254
LedoitWolf_unweighted_single_nocluster_degree_peripheral,0.91842
LedoitWolf_unweighted_single_nocluster_closeness_central,0.485751
LedoitWolf_unweighted_single_nocluster_closeness_peripheral,0.659025
